,author,quote
2,Chandler,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?"
6,Chandler,Sounds like a date to me.
7,Chandler,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
9,Chandler,"Then I look down, and I realize there's a phone... there."
14,Chandler,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
16,Chandler,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
73,Chandler,"Please don't do that again, it's a horrible sound."
81,Chandler,"Ooh, this is a Dear Diary moment."
91,Chandler,"I'm sorry, I didn't catch your name. Paul, was it?"
111,Chandler,It's a beautiful thing.
113,Chandler,I would have to say that is an 'L'-shaped bracket.
115,Chandler,I have no idea.
120,Chandler,"Yes, please don't spoil all this fun."
125,Chandler,Oh my God!
140,Chandler,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
144,Chandler,"Stay out of my freezer!Scene: A Restaurant, Monica and Paul are still eating.]"
163,Chandler,"Angela's the screamer, Andrea has cats."
167,Chandler,That is amazing.
170,Chandler,"If can invade Poland, there isn't anything I can't do."
177,Chandler,"Hi, Paul, is it?"
186,Chandler,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
194,Chandler,"'Look, Gippetto, I'm a real live boy.'"
231,Chandler,And yet you're surprisingly upbeat.
233,Chandler,"Oh, how well you know me..."
293,Chandler,"Did you make it, or are you just serving it?"
299,Chandler,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
305,Chandler,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
307,Chandler,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
330,Chandler,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
338,Chandler,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
344,Chandler,Ugly Naked Guy got a Thighmaster!
355,Chandler,You don't get a lot of 'doy' these days...
363,Chandler,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
365,Chandler,Boys? We're going in.
372,Chandler,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
377,Chandler,"I mean presumably, the biggest part of your job is done."
416,Chandler,What does she do?
420,Chandler,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
530,Chandler,"I dunno, but.. I think it's about to attack the Enterprise."
552,Chandler,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
556,Chandler,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
560,Chandler,"""So how does it feel knowing you're about to die?"""
562,Chandler,"Hey, that was really good!"
564,Chandler,"Okay. ""So. Whaddya want from me, Damone, huh?"""
567,Chandler,I think this is probably why Damone smokes in his cell alone.
569,Chandler,Relax your hand!
570,Chandler,Not so much!
574,Chandler,"Alright, now try taking a puff."
575,Chandler,Alright.. okay. No. Give it to me.
577,Chandler,"It's fine, it's fine. Look, do you wanna get this part, or not? Here."
578,Chandler,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
593,Chandler,"Oh, Satan's minions at work again..."
605,Chandler,"I'm smoking. I'm smoking, I'm smoking."
607,Chandler,And this- is my reward!
609,Chandler,"Okay, so this time I won't quit!"
620,Chandler,What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.
672,Chandler,"Yep, we sure showed those Hassidic jewellers a thing or two about softball.."
678,Chandler,I personally could have a gallon of Alan.
705,Chandler,"Well, maybe it's a contest, y'know? Like, collect all five?"
710,Chandler,"Hey, this is so unfair!"
712,Chandler,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?"
733,Chandler,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it."
739,Chandler,"Ooh, Lambchop. How old is that sock? If I had a sock on my hand for thirty years it'd be talking too."
742,Chandler,"Joey ate my last stick of gum, so I killed him. Do you think that was wrong?"
796,Chandler,...That's it. I'm getting cigarettes.
804,Chandler,"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever."
825,Chandler,You got waaaay too much free time.
827,Chandler,"Happy birthday, pal!"
832,Chandler,"Well, aren't we Mr. ""The glass is half empty."""
837,Chandler,Eleven days before Halloween.. all the good costumes are gone?
845,Chandler,You got it.
872,Chandler,We'll take a brief time out while Messier stops to look at some women's shoes.
909,Chandler,What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?
935,Chandler,"Hey, look, we're on that TV thing!"
989,Chandler,"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?"
992,Chandler,"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?"
1022,Chandler,"I think it's great. Y'know, it's sweet, it's romantic..."
1028,Chandler,"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight."
1033,Chandler,"You gotta do it, man."
1045,Chandler,"Hello? Oh, uh, Rachel, it's the Visa card people."
1056,Chandler,"We can? All right, I'm tryin' that."
1060,Chandler,"So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night!"
1062,Chandler,Not a one.
1064,Chandler,"Oh, right, right, shut up."
1066,Chandler,"No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening, and then you finally get up the courage to do it, and there's the horrible awkward moment when you've handed her the note."
1069,Chandler,"Oh, thanks, but I think she'd feel like we're gangin' up on her."
1080,Chandler,"Ooh, I hate when my father calls me that."
1121,Chandler,"Oh. Well, hold on camper, are you sure you've thought this thing through?"
1123,Chandler,"It's just you and Rachel, just the two of you? This is a date. You're going on a date."
1127,Chandler,"Well, you may wanna rethink the dirty underwear. This is basically the first time she's gonna see your underwearyou want it to be dirty?"
1129,Chandler,"Oh, and uh, the fabric softener?"
1131,Chandler,There you go.
1141,Chandler,Where are they? Where are they?
1143,Chandler,It's great. Maybe tomorrow we can rent a car and run over some puppies.
1145,Chandler,Here we go.
1149,Chandler,"Hey, that's not good. Can I get an espresso and a latte over here, please?"
1155,Chandler,Bullwinkle socks. That's so sweet.
1158,Chandler,"Well, I'm gonna get another espresso. Can I get you another latte?"
1162,Chandler,"Oh, yeah, that hug looked pretty brutal."
1213,Chandler,"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice."
1247,Chandler,"Oh, my god, I'm so sorry. Are you ok?"
1251,Chandler,"Oh, I don't know, a million?"
1255,Chandler,I'm not fine. Here she comes.
1257,Chandler,How do you do that?
1259,Chandler,We should always always break up together.
1289,Chandler,I'm free! I'm free!
1292,Chandler,"You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom..."
1301,Chandler,"No, ten o'clock."
1305,Chandler,"She's amazing! She makes the women that I dream about look like short, fat, bald men!"
1307,Chandler,"Oh yeah, and what would my opening line be? 'Excuse me. Blarrglarrghh.'"
1309,Chandler,"Oh please, could she be more out of my league? Ross, back me up here."
1311,Chandler,"Thank you, buddy."
1316,Chandler,"Oh God, I can't believe I'm even considering this... I'm very very aware of my tongue..."
1336,Chandler,"Well, I can't believe I've been here almost seven seconds and you haven't asked me how my date went."
1338,Chandler,It was unbelievable. I-I've never met anyone like her. She's had the most amazing life! She was in the Israeli army...
1340,Chandler,"Alright. Once I got on the subway, right, and it was at night, and I rode it all the way to Brooklyn... just for the hell of it."
1342,Chandler,"Oh, I'm sorry, so 'we' is?"
1346,Chandler,"Oh, so you're divorced?"
1348,Chandler,"Oh, I'm sorry, then you're widowed?...Hopefully?"
1350,Chandler,"So tell me, how do- how do you think your husband would feel about you sitting here with me?...Sliding your foot so far up my pant leg you can count the change in my pocket?"
1352,Chandler,"Ethan? There's, there's an Ethan?"
1354,Chandler,"So explain something to me here, uh, what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?"
1357,Chandler,What 'not work out'? I'm seeing her again on Thursday. Didn't you listen to the story?
